#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
73,Mike Davis,RB,FA,0,7.5,15.1,17.1,20.9,9.5,3.6,7.7,3.7,4.4,13.9,7.9,-,21.3,6.1,8.8,-,9.8,147.5,74
74,David Johnson,RB,FA,16.9,5,10.6,9.2,10.3,12.9,12.4,-,1.6,-,-,-,10.4,-,13.3,25.9,18,12.2,146.5,75
75,DJ Moore,WR,CHI,5.4,12,6.5,4.9,15.3,9.3,21.3,5.5,1.8,15.6,14.8,6.1,-,-,13.2,3.7,10.1,9.7,145.5,76
76,Keenan Allen,WR,LAC,3.7,9.6,17.2,6.2,8.9,BYE,12.5,12.7,16.3,9.9,18.5,12,4.8,11.2,1.6,-,-,10.4,145.1,77
77,Sam Darnold,QB,SF,12.2,11.9,9.7,23.6,-,-,2.8,7.4,-,-,BYE,6.8,21,5.6,14.1,17,12.9,12.1,145,77
77,Ryan Succop,K,FA,5,7,9,8,14,10,9,15,4,17,6,6,-,9,7,5,14,9.1,145,77
77,Indianapolis Colts,DST,IND,4,15,26,7,11,4,BYE,15,5,10,8,-3,12,12,10,0,9,9.1,145,77
77,Justin Tucker,K,BAL,9,16,9,8,10,16,BYE,8,7,5,10,2,10,9,9,9,8,9.1,145,81
81,Amari Cooper,WR,CLE,8.1,10,8.6,21.4,2.1,13.9,8.5,0.5,7.5,-,8.1,17.2,11.3,11.1,0.3,12.1,4.1,9.1,144.8,82
82,Andy Dalton,QB,CAR,-,0,-,-,2.4,13,3.6,-,-,-,19.3,13.3,18.6,15.3,17.2,27.6,13.6,13.1,143.9,83
83,D'Andre Swift,RB,PHI,8.3,7.2,1.9,11.2,-,24.3,10.8,2.3,9.7,20.9,-,-,-,11,18.2,5,13,11.1,143.8,84
84,CeeDee Lamb,WR,DAL,5.9,11.5,6.6,20.2,12.4,6.4,0.1,4.6,11.1,BYE,12.6,2.1,4.6,6.1,14.5,20.4,4.6,9,143.7,85
85,Miles Sanders,RB,CAR,-,17.1,10.7,7.6,21.9,11.2,-,-,-,11.5,6.1,4.2,3.1,25.6,9,14.4,-,11.9,142.4,86
86,Baltimore Ravens,DST,BAL,15,15,7,6,26,7,BYE,4,14,1,3,8,4,0,10,10,11,8.8,141,86
86,Miami Dolphins,DST,MIA,2,2,12,3,12,15,BYE,23,8,6,5,14,14,10,9,5,1,8.8,141,88
88,Tua Tagovailoa,QB,MIA,-,-,-,-,-,0.4,BYE,5.7,21.4,14.7,7.3,-,16.1,28,19.7,8.9,18.2,14,140.5,89
89,Clyde Edwards-Helaire,RB,KC,19.8,7,13.4,9.1,8,16.9,12.3,3.1,9.4,BYE,19.7,3.9,-,9.1,8.3,-,-,10.8,140,90
90,Cairo Santos,K,CHI,9,5,6,3,9,13,5,14,5,8,BYE,5,7,10,18,12,10,8.7,139,91
91,Dak Prescott,QB,DAL,17.6,39.8,29.5,38.3,13.4,-,-,-,-,BYE,-,-,-,-,-,-,-,27.7,138.6,92
92,Todd Gurley II,RB,FA,11.7,6.1,14.2,18.3,21,6.7,20.2,10.6,11.5,-,2.9,-,2,3.1,1.4,5,3.5,9.2,138.2,93
93,Jason Myers,K,SEA,9,5,4,9,3,BYE,12,8,12,12,9,12,4,11,10,10,8,8.6,138,94
94,Nelson Agholor,WR,BAL,8.3,1.9,3.2,10.4,12.7,-,16.7,0,11.5,0.8,14.8,5.4,3.8,16,4.9,21.5,5.7,8.6,137.6,95
95,JuJu Smith-Schuster,WR,NE,18.9,4.8,12.3,-,2.8,0.6,8.5,6.7,15.3,13.7,1.9,9.7,2.8,11.5,-0.5,15.6,12.5,8.6,137.1,96
96,Terry McLaurin,WR,WAS,6.1,18.5,8.6,11.8,2.6,7.4,15,BYE,17.5,10.2,8.4,9.2,1.4,2.4,7.7,-,10,9.1,136.8,97
97,Brandon McManus,K,JAC,2,8,6,18,-,24,5,7,11,8,9,5,6,2,-,14,11,9.1,136,98
98,William Fuller V,WR,FA,11.2,0,11.4,16.8,11.8,18.3,9.5,-,16,3.8,8,29.1,-,-,-,-,-,12.4,135.9,99
99,Curtis Samuel,WR,WAS,4.3,3.9,5.2,4.8,6.4,-,11.3,17.4,17.8,1.2,13.4,7.7,-,9,4.8,15.8,12.1,9,135.1,100
100,Wil Lutz,K,NO,10,6,13,5,15,BYE,11,14,8,10,6,8,3,3,3,10,10,8.4,135,101
101,Harrison Butker,K,KC,10,13,4,8,6,8,14,5,11,BYE,5,9,17,8,6,7,3,8.4,134,102
102,Diontae Johnson,WR,PIT,3.7,15.2,0.9,BYE,-0.2,-,20,0.6,8.1,17.6,11.1,4.6,13.1,4,11.9,13.6,9.6,8.9,133.8,103
103,Graham Gano,K,NYG,4,7,13,9,20,8,3,5,13,10,BYE,15,4,1,6,8,7,8.3,133,104
104,Ka'imi Fairbairn,K,HOU,2,12,3,13,13,6,8,BYE,11,1,10,10,10,1,8,7,17,8.3,132,105
105,Nyheim Hines,RB,BUF,19.3,0.4,6.1,3.2,3,2.7,-,18.2,3.8,23.5,5.3,9.5,9.2,7.5,5.4,6.4,6.7,8.1,130.2,106
106,James Conner,RB,ARI,1.7,18.1,20.9,-,12.3,16.2,11.1,12,2,4.8,9.9,-,-,1.8,-,12.6,6.2,10,129.6,107
107,Jeff Wilson Jr.,RB,MIA,0,0.3,18.9,1.9,2.7,-,30,-,-,-,-,2,5.9,8.4,12,26.4,20.8,10.8,129.3,108
108,Chosen Anderson,WR,MIA,19.4,8.9,5.5,9.9,11.5,7.7,7.4,4.8,6.3,2.1,4.6,15.4,-,9.7,2,9.9,4,8.1,129.1,109
109,Joey Slye,K,WAS,12,5,15,7,11,11,7,5,8,6,10,10,-,9,10,2,1,8.1,129,110
110,Nick Mullens,QB,MIN,-,1.6,17.7,8,-,-,BYE,17.5,12.6,12.2,-,9.1,22.6,13.4,13.5,-,-,12.8,128.3,111
111,Dustin Hopkins,K,LAC,10,3,2,6,5,7,5,-,10,10,10,11,14,13,4,8,10,8,128,112
112,Tee Higgins,WR,CIN,0,3.5,16,9,6.2,12.7,13.8,8.4,BYE,15.5,2.6,10.4,5.6,4.9,3.1,15.9,0,8,127.6,113
113,Washington Commanders,DST,WAS,15,4,1,4,2,4,17,BYE,5,0,12,15,3,23,3,9,10,7.9,127,114
114,Corey Davis,WR,NYJ,10.1,9.6,6.9,-,-,-,9.5,18.8,0,6.7,11.3,7,24.2,1.4,17,0,3.9,9,126.4,115
115,Chris Godwin,WR,TB,7.9,-,12.4,-,-,4.8,14.8,-,4.1,9.2,11.3,9.7,BYE,2.5,9.6,14.4,25.3,10.5,126,115
115,New Orleans Saints,DST,NO,17,4,-3,4,3,BYE,1,7,16,14,16,14,6,2,7,1,17,7.9,126,117
117,Cole Beasley,WR,FA,5.8,7,10,9.2,5.3,10.5,11.2,2.4,3.9,16.9,-,7.3,19,4.1,11.2,1.7,-,8.4,125.5,118
118,Marquise Brown,WR,ARI,10.1,4.2,1.3,8.6,13.8,5.7,-,6.3,3.8,1.4,0,14.5,9.9,11,9.8,8.5,16.1,7.8,125,119
119,Robert Tonyan,TE,CHI,0,8.5,11,27.8,-,2.5,3.2,7.9,0.5,3.3,10.4,12.7,9.9,9.6,7.8,1.7,7.8,7.8,124.6,120
120,Brandon Aiyuk,WR,SF,-,2.1,16.1,11.6,4.4,7.2,11.5,15.1,-,12.7,BYE,-,15.5,11.9,13.3,3.1,-,10.4,124.5,121
121,Myles Gaskin,RB,MIA,6.6,8.2,9.5,6.2,15.1,12.6,BYE,10.3,-,-,-,-,12.1,-,-,28.9,13.7,12.3,123.2,122
122,Nick Folk,K,NE,3,6,12,5,BYE,7,8,8,15,5,9,10,9,3,15,4,4,7.7,123,123
123,Mason Crosby,K,FA,12,11,16,7,-,4,5,2,12,6,7,5,7,9,8,4,5,7.5,120,123
123,Michael Badgley,K,DET,11,9,5,9,3,-,9,15,9,3,11,3,0,9,6,14,4,7.5,120,125
125,Gus Edwards,RB,BAL,1.7,7.3,3.9,3.8,2.5,8.6,BYE,14.7,7.4,7.3,0.6,7,10.1,17.3,7.8,12.2,7,7.5,119.2,126
126,Stephen Gostkowski,K,FA,4,12,25,-,6,4,8,2,7,7,12,10,3,9,8,2,-,7.9,119,126
126,Tampa Bay Buccaneers,DST,TB,0,14,18,6,6,19,6,7,1,5,4,4,BYE,9,3,12,5,7.4,119,128
128,Buffalo Bills,DST,BUF,8,2,5,6,-4,3,14,4,12,6,BYE,6,4,12,12,7,21,7.4,118,129
129,Matt Prater,K,ARI,12,3,14,3,-,11,16,3,9,16,0,5,4,6,7,1,7,7.3,117,130
130,Cooper Kupp,WR,LAR,4,8,16.7,12.7,6.6,1.1,5.9,11,BYE,5,14.5,4.1,7.3,9.3,3.9,6.6,-,7.8,116.7,131
