#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
86,Robert Tonyan,TE,CHI,0,10.5,16,33.8,-,5.5,5.2,12.9,1.5,6.3,15.4,17.7,13.9,14.6,10.8,2.7,9.8,11,176.6
88,Clyde Edwards-Helaire,RB,KC,19.8,13,18.4,12.1,11,20.9,13.3,6.1,12.4,BYE,20.7,4.9,-,14.1,9.3,-,-,13.5,176
89,T.J. Hockenson,TE,MIN,16.6,10.2,9.3,10.9,-,9.7,16.9,13.5,14.9,3.3,10.8,13.9,15.4,16.3,1.8,6.3,5.5,11,175.3
90,Michael Gallup,WR,DAL,8,7.8,25.8,4.9,11.3,4.3,0,13.1,6.6,BYE,4.9,10.1,21.6,4.3,11.6,30.1,8.9,10.8,173.3
91,Jamison Crowder,WR,NYG,24.5,-,-,17.4,25.6,11.8,-,-,10.6,-,2.6,6.1,21.7,2.7,12.6,29.3,7.1,14.3,172
91,Jason Sanders,K,MIA,4,11,7,18,22,6,BYE,4,14,14,10,12,14,10,2,15,9,10.8,172
93,Miles Sanders,RB,CAR,-,20.1,14.7,9.6,23.9,12.2,-,-,-,13.5,9.1,6.2,3.1,29.6,10,18.4,-,14.2,170.4
94,Mark Andrews,TE,BAL,22.8,3.9,5.2,20.7,17.6,4.1,BYE,6.2,5.2,13.1,20.6,-,-,12.8,17.6,13.6,6.7,12.2,170.1
95,J.K. Dobbins,RB,BAL,14.2,7.1,8.4,2.7,8.5,4.9,BYE,13.1,5.5,2.4,18.5,-,13.1,13.3,15.1,13.7,28,11.2,168.5
96,Chase Edmonds,RB,TB,13.5,4.3,5.4,15,20.2,3.9,21.5,-,11.8,10.7,14.9,8.3,6.3,9.3,15.6,2.8,4.5,10.5,168
96,Younghoe Koo,K,ATL,9,17,8,-,13,20,2,13,12,BYE,13,21,12,6,11,2,9,11.2,168
98,DeVante Parker,WR,NE,8.7,16.3,11.9,21,13,6.5,-,7.3,12.4,5.1,18.1,19.9,7.5,0,-,-,18.6,11.9,166.3
99,Gardner Minshew II,QB,IND,20.8,25.5,10.2,21.9,19.8,19.1,19,-,-,-,-,-,-,13.3,15.9,-,-,18.4,165.7
100,Austin Ekeler,RB,LAC,9.7,18.8,31.3,2.4,-,BYE,-,-,-,-,-,23.9,10.8,23.6,11.9,15.8,17.1,16.5,165.3
101,Emmanuel Sanders,WR,FA,10.5,2.8,15.6,15.3,24.2,-,-,-,13.8,1.5,10.6,1.4,8.9,13.8,11.6,13.5,21.3,11.8,164.8
102,James Conner,RB,ARI,3.7,20.1,24.9,-,15.3,17.2,14.1,15,4,6.8,12.9,-,-,1.8,-,17.6,11.2,12.7,164.6
103,T.Y. Hilton,WR,FA,9.3,5.8,8.2,5.9,12.9,2.1,-,2.9,-,8,6.6,18.1,25,25.6,11.1,9,13.7,10.9,164.2
103,Myles Gaskin,RB,MIA,10.6,14.2,14.5,9.2,20.1,16.6,BYE,13.3,-,-,-,-,14.1,-,-,33.9,17.7,16.4,164.2
105,Todd Gurley II,RB,FA,13.7,6.1,15.2,19.3,25,9.7,22.2,10.6,13.5,-,3.9,-,3,5.1,3.4,8,4.5,10.9,163.2
106,Sterling Shepard,WR,NYG,10.7,5.5,-,-,-,-,17.9,15.4,11.7,10.7,BYE,13.8,5.2,6.5,8.8,22.7,33.6,13.5,162.5
107,Ryan Fitzpatrick,QB,FA,8.4,24.3,25.2,23.3,27.6,18,-,-,-,-,4.3,19.3,-,0,-,11.3,-,16.2,161.7
107,Mitch Trubisky,QB,PIT,24.3,15.2,12.6,BYE,-,-,-,0.3,-,-,-,20.7,13.3,25,14.5,24.6,11.3,16.2,161.7
109,Tim Patrick,WR,DEN,6.9,4.4,14.3,23.3,BYE,14.1,7.4,-,12.9,10.1,16.9,0,20.4,12.6,4.4,6.9,6.6,10.7,161.2
110,Mike Gesicki,TE,NE,6,27,8.5,2.5,14.1,0,-,1.8,7.2,6,8.3,11.5,23.8,23.5,-,9.4,9.7,10.6,159.3
111,Taysom Hill,TE,NO,5.2,0.8,-0.3,2.4,7.3,BYE,0.6,14.5,10.4,2.5,24.2,18.5,23.6,19.9,6.3,11,11.6,9.9,158.6
112,Giovani Bernard,RB,FA,6.8,7.5,8.5,1.9,1.4,11.8,20.6,22.8,-,8.7,9.5,6.9,4.9,3.3,22.7,20.1,0.7,9.9,158.1
113,Jerry Jeudy,WR,DEN,9.6,10.2,10.5,14.1,BYE,5.2,4,11.3,25.5,10.8,6.7,0,1.5,6.2,2.9,12.1,27,9.9,157.6
114,Laviska Shenault Jr.,WR,CAR,13.7,10.2,8.4,14.1,14.9,4.1,7.4,-,0.9,-,-,6.7,15.8,11.1,9.4,15.8,24.6,11.2,157.1
115,Tyler Bass,K,BUF,9,7,5,6,5,6,23,6,15,18,BYE,11,10,8,12,8,8,9.8,157
116,Keelan Cole Sr.,WR,LV,15.7,17.8,8.3,8.6,10.7,20.3,2.2,-,1.6,21.7,4.6,7.4,1.7,19.7,4.2,5.6,5.3,9.7,155.4
117,Daniel Carlson,K,LV,12,12,8,13,11,BYE,9,10,7,15,7,6,8,9,9,13,6,9.7,155
118,Mike Williams,WR,LAC,10.9,3.4,2.7,-,27.9,BYE,1.4,21,13.1,5.8,17.2,5.6,8.3,0,4.2,9.4,22.8,10.2,153.7
119,DJ Chark Jr.,WR,CAR,11.5,12.4,-,29.5,4.6,11.5,3.6,-,27.6,9.6,8.1,-,6.1,3.6,9.3,16.2,-,11.8,153.6
120,Greg Zuerlein,K,NYJ,5,11,9,2,14,4,4,13,15,BYE,5,10,5,14,13,13,16,9.6,153
121,Darnell Mooney,WR,CHI,6.8,12.6,3.9,9.9,3.5,6.6,7,17.9,9.3,2.3,BYE,8.4,8.3,10.7,16.5,8.1,20.3,9.5,152.1
122,Los Angeles Rams,DST,LAR,4,7,4,11,12,0,15,5,BYE,13,5,15,11,21,2,6,20,9.4,151
123,Rodrigo Blankenship,K,FA,8,15,12,14,11,8,-,3,5,11,15,2,7,14,11,6,8,9.4,150
124,Rob Gronkowski,TE,FA,3.1,0,10.8,3.9,8.2,18.8,17.2,14.1,1.2,13.1,4.5,16.6,-,7.2,5.9,19.8,4.9,9.3,149.3
124,Noah Fant,TE,SEA,19.1,17.7,9.6,8.5,-,BYE,6.8,11.7,7.5,4.8,9.5,2.3,9.7,0,20.8,12.5,8.8,10,149.3
126,Hayden Hurst,TE,CAR,6.8,18.2,7.1,9.1,2.8,15.7,12.8,10.4,13.2,-,0,8.8,1.9,1.7,12.1,15.7,12.8,9.3,149.1
127,Pittsburgh Steelers,DST,PIT,8,13,7,BYE,8,18,2,18,7,12,17,14,3,6,2,9,4,9.3,148
128,Dalton Schultz,TE,HOU,2.1,21.8,8.8,17.2,1.6,7.5,4.2,11.3,8.8,-,12.5,7.4,8.4,6.4,9.4,5.1,14,9.2,146.5
129,Christian Kirk,WR,JAC,1,8,-,10.9,12.8,22.6,20.7,BYE,23.3,6.7,9,4.9,1.2,4.4,6.3,14.6,-,10.5,146.4
130,Julio Jones,WR,FA,24.7,4.4,-,7.2,-,33.7,17.7,20.7,16.4,-,5.9,-,15.4,-,-,-,-,16.2,146.1
131,Hunter Henry,TE,NE,12.3,14.3,10,5.9,12.3,-,5.3,7.3,7.3,13,14.8,13.7,1.5,10.1,17.5,-,-,10.4,145.3
132,Sam Darnold,QB,SF,12.2,11.9,9.7,23.6,-,-,2.8,7.4,-,-,BYE,6.8,21,5.6,14.1,17,12.9,12.1,145
132,Ryan Succop,K,FA,5,7,9,8,14,10,9,15,4,17,6,6,-,9,7,5,14,9.1,145
132,Justin Tucker,K,BAL,9,16,9,8,10,16,BYE,8,7,5,10,2,10,9,9,9,8,9.1,145
132,Indianapolis Colts,DST,IND,4,15,26,7,11,4,BYE,15,5,10,8,-3,12,12,10,0,9,9.1,145
136,Andy Dalton,QB,CAR,-,0,-,-,2.4,13,3.6,-,-,-,20.3,13.3,18.6,15.3,17.2,27.6,13.6,13.2,144.9
137,Jimmy Graham,TE,FA,11.5,2.8,24,7.3,12.3,8.4,8.1,3.3,17.5,0,-,6.2,0,12.3,4.5,22.9,2.5,9,143.6
137,Devin Singletary,RB,HOU,10.3,9.6,16.1,18.7,4.3,5.5,6.7,10.2,6.4,2,-,11.2,11.3,4.4,17.4,7.2,2.3,9,143.6
139,Jakobi Meyers,WR,LV,0,1.7,0,-,-,BYE,10.2,13.8,28.9,15.9,6.8,10.2,3.5,8.7,16.1,8.5,18.3,10.2,142.5
140,Jeff Wilson Jr.,RB,MIA,0,0.3,21.9,2.9,2.7,-,32,-,-,-,-,2,7.9,9.4,12,27.4,23.8,11.9,142.3
141,Eric Ebron,TE,FA,2.8,7.3,16.2,-,7.3,2.9,11,14.8,11.2,5.8,13.6,12.4,13.8,7,0,15.7,-,9.5,141.8
142,Miami Dolphins,DST,MIA,2,2,12,3,12,15,BYE,23,8,6,5,14,14,10,9,5,1,8.8,141
142,Baltimore Ravens,DST,BAL,15,15,7,6,26,7,BYE,4,14,1,3,8,4,0,10,10,11,8.8,141
142,Darius Slayton,WR,NYG,28.2,6.3,6.3,7.8,20.9,11.8,4.3,10.6,1.8,14.3,BYE,0,2.4,6.1,11.4,4.6,4.2,8.8,141
142,Evan Engram,TE,JAC,2.9,12.5,5.2,9.5,9.5,5,10.9,12,15.8,3.5,-,16.9,7.2,3.8,8.6,14,3.7,8.8,141
146,Tua Tagovailoa,QB,MIA,-,-,-,-,-,0.4,BYE,5.7,21.4,14.7,7.3,-,16.1,28,19.7,8.9,18.2,14,140.5
147,Jonnu Smith,TE,ATL,13.6,24.4,11.1,-,21,2.3,1.9,4.9,11.2,9.5,12,0,-,4.3,10.2,12,1.8,9.3,140.2
148,Dak Prescott,QB,DAL,17.6,39.8,29.5,38.3,14.4,-,-,-,-,BYE,-,-,-,-,-,-,-,27.9,139.6
149,Cairo Santos,K,CHI,9,5,6,3,9,13,5,14,5,8,BYE,5,7,10,18,12,10,8.7,139
150,Jason Myers,K,SEA,9,5,4,9,3,BYE,12,8,12,12,9,12,4,11,10,10,8,8.6,138
151,Marquez Valdes-Scantling,WR,KC,19.6,9.4,1.5,8.5,-,6.2,0.9,3.3,19.3,24.9,6.5,0,-0.4,20.5,0,0,17.1,8.6,137.3
152,Zach Pascal,WR,ARI,3.8,10.9,5.4,8.8,3.5,15.4,-,7.4,10.5,7.3,8.4,3.3,2.1,3.7,24.9,15.4,6.1,8.6,136.9
152,Gabe Davis,WR,BUF,3.6,7.6,12.1,9.6,10.8,1.7,2.1,0,17,0,BYE,16.9,15.8,10.9,3.8,6.3,18.7,8.6,136.9
154,Wayne Gallman Jr.,RB,FA,2.4,-,3.4,4.5,4.4,0,16.4,13.2,14.7,19,-,18.1,13.5,10.3,2.9,7.3,6.5,9.1,136.6
155,Latavius Murray,RB,BUF,4.8,5.3,7.5,21.3,7.7,-,6.6,6.1,6.2,5.7,10.5,25.6,3.7,1.7,10.9,12.6,-,9.1,136.2
156,Brandon McManus,K,JAC,2,8,6,18,-,24,5,7,11,8,9,5,6,2,-,14,11,9.1,136
157,Wil Lutz,K,NO,10,6,13,5,15,BYE,11,14,8,10,6,8,3,3,3,10,10,8.4,135
158,Harrison Butker,K,KC,10,13,4,8,6,8,14,5,11,BYE,5,9,17,8,6,7,3,8.4,134
159,Greg Ward,WR,PHI,8.1,1.5,20.6,7.8,12.6,5.9,15.2,4.2,BYE,8.9,3.9,1.3,14.7,4,17.5,4.7,2.2,8.3,133.1
160,Graham Gano,K,NYG,4,7,13,9,20,8,3,5,13,10,BYE,15,4,1,6,8,7,8.3,133
161,Ka'imi Fairbairn,K,HOU,2,12,3,13,13,6,8,BYE,11,1,10,10,10,1,8,7,17,8.3,132
161,Leonard Fournette,RB,FA,2.9,27.6,4.2,-,0,-,15.7,10.1,10.1,5,9.6,5,-,-,21.5,15.6,4.7,10.2,132
163,Hunter Renfrow,WR,LV,4.1,6.7,20.4,10.7,5.2,BYE,8.2,12.6,8,5,5.7,14.3,8.7,6.8,1.4,8.4,5.4,8.2,131.6
164,Darrell Henderson Jr.,RB,FA,0.6,20.1,19,4.7,21.8,9.2,9.6,6.8,-,10.3,2.9,1.9,15.4,0.5,1.3,6.2,-,8.7,130.3
165,Kendrick Bourne,WR,NE,5.4,10.7,10.3,6.3,11,6.4,0,16.1,-,6.6,-,6.4,7.5,9.2,18.6,2.6,12.6,8.6,129.7
166,Joey Slye,K,WAS,12,5,15,7,11,11,7,5,8,6,10,10,-,9,10,2,1,8.1,129
167,Nick Mullens,QB,MIN,-,1.6,17.7,8,-,-,BYE,17.5,12.6,12.2,-,9.1,22.6,13.4,13.5,-,-,12.8,128.3
